neuron,concept,concept_id,metric
0,web site,n06359193,0.9617
1,common iguana,n01677366,0.8719
2,stinkhorn,n13040303,0.9397
3,bell pepper,n07720875,0.9470
4,stage,n04296562,0.8941
5,scuba diver,n10565667,0.9309
6,bell cote,n02825657,0.8842
7,car mirror,n02965783,0.8902
8,jacamar,n01843065,0.8974
9,gyromitra,n13037406,0.9351
10,consomme,n07584110,0.8610
11,vending machine,n04525305,0.9469
12,espresso,n07920052,0.8998
13,electric locomotive,n03272562,0.8679
14,papillon,n02086910,0.8342
15,australian terrier,n02096294,0.8223
16,egyptian cat,n02124075,0.9228
17,odometer,n03841143,0.9534
18,entertainment center,n03290653,0.9405
19,scuba diver,n10565667,0.9114
20,scoreboard,n04149813,0.8833
21,menu,n07565083,0.8840
22,jacamar,n01843065,0.8014
23,model t,n03777568,0.8985
24,odometer,n03841143,0.9302
25,home theater,n03529860,0.9145
26,pirate,n03947888,0.9428
27,ballplayer,n09835506,0.7877
28,web site,n06359193,0.9488
29,scoreboard,n04149813,0.9043
30,windsor tie,n04591157,0.9160
31,academic gown,n02669723,0.8898
32,persian cat,n02123394,0.8852
33,volcano,n09472597,0.9276
34,artichoke,n07718747,0.9642
35,odometer,n03841143,0.9428
36,european fire salamander,n01629819,0.9734
37,flamingo,n02007558,0.8658
38,rain barrel,n04049303,0.8501
39,great white shark,n01484850,0.9620
40,rugby ball,n04118538,0.8985
41,theater curtain,n04418357,0.9008
42,volleyball,n04540053,0.8104
43,bullfrog,n01641577,0.8936
44,basketball,n02802426,0.8733
45,mitten,n03775071,0.9101
46,bullet train,n02917067,0.8451
47,mixing bowl,n03775546,0.9206
48,barometer,n02794156,0.9172
49,acoustic guitar,n02676566,0.9078
50,police van,n03977966,0.9224
51,crock pot,n03133878,0.8823
52,daisy,n11939491,0.8889
53,pickup,n03930630,0.8152
54,mitten,n03775071,0.8759
55,hot pot,n07590611,0.9018
56,water tower,n04562935,0.9004
57,web site,n06359193,0.9688
58,grasshopper,n02226429,0.8669
59,seashore,n09428293,0.8981
60,disk brake,n03208938,0.9046
61,bull mastiff,n02108422,0.8746
62,minibus,n03769881,0.8763
63,web site,n06359193,0.9492
64,bullet train,n02917067,0.8698
65,jaguar,n02128925,0.9115
66,whiskey jug,n04579145,0.9472
67,sports car,n04285008,0.8885
68,rapeseed,n11879895,0.9836
69,model t,n03777568,0.9220
70,washer,n04554684,0.9004
71,web site,n06359193,0.8932
72,barbell,n02790996,0.8094
73,photocopier,n03924679,0.8854
74,blenheim spaniel,n02086646,0.9733
75,dishrag,n03207743,0.9610
76,jaguar,n02128925,0.9825
77,web site,n06359193,0.9419
78,reflex camera,n04069434,0.9306
79,affenpinscher,n02110627,0.9125
80,cardoon,n07730033,0.9401
81,reflex camera,n04069434,0.9365
82,spotted salamander,n01632458,0.9392
83,web site,n06359193,0.9368
84,blenheim spaniel,n02086646,0.9348
85,yellow lady's slipper,n12057211,0.8773
86,affenpinscher,n02110627,0.8919
87,wok,n04596742,0.7791
88,magnetic compass,n03706229,0.9590
89,shoji,n04201297,0.8803
90,yellow lady's slipper,n12057211,0.9408
91,pirate,n03947888,0.9407
92,bee eater,n01828970,0.8740
93,paddlewheel,n03874293,0.9430
94,microwave,n03761084,0.9029
95,jacamar,n01843065,0.8911
96,triumphal arch,n04486054,0.9149
97,shoji,n04201297,0.9381
98,web site,n06359193,0.9318
99,entertainment center,n03290653,0.8933
100,windsor tie,n04591157,0.8294
101,microwave,n03761084,0.9523
102,vending machine,n04525305,0.8518
103,butcher shop,n02927161,0.8848
104,scoreboard,n04149813,0.9056
105,strawberry,n07745940,0.9121
106,sea slug,n01950731,0.9595
107,pitcher,n03950228,0.8665
108,whiskey jug,n04579145,0.8728
109,tiger beetle,n02165105,0.8369
110,bullet train,n02917067,0.8713
111,crossword puzzle,n06785654,0.8895
112,ballplayer,n09835506,0.9049
113,poncho,n03980874,0.8102
114,goblet,n03443371,0.8979
115,prayer rug,n03998194,0.9073
116,polecat,n02443114,0.8968
117,web site,n06359193,0.9004
118,komondor,n02105505,0.9418
119,barber chair,n02791124,0.8831
120,web site,n06359193,0.9460
121,suit,n04350905,0.9270
122,chain,n02999410,0.8330
123,koala,n01882714,0.9027
124,desk,n03179701,0.8545
125,prairie chicken,n01798484,0.9338
126,vault,n04523525,0.8569
127,pizza,n07873807,0.9183
128,tibetan mastiff,n02108551,0.9347
129,totem pole,n04458633,0.8123
130,gondola,n03447447,0.9281
131,china cabinet,n03018349,0.9312
132,anemone fish,n02607072,0.8939
133,library,n03661043,0.9358
134,dalmatian,n02110341,0.9211
135,hand-held computer,n03485407,0.8175
136,american black bear,n02133161,0.8693
137,bikini,n02837789,0.9687
138,electric locomotive,n03272562,0.9154
139,organ,n03854065,0.9684
140,dishrag,n03207743,0.9279
141,white wolf,n02114548,0.9065
142,paddlewheel,n03874293,0.9198
143,monarch,n02279972,0.9372
144,brain coral,n01917289,0.9188
145,stopwatch,n04328186,0.8838
146,black and gold garden spider,n01773157,0.9044
147,academic gown,n02669723,0.9165
