neuron,concept,concept_id,metric
0,butcher shop,n02927161,0.9341
1,jaguar,n02128925,0.8802
2,butcher shop,n02927161,0.8511
3,scuba diver,n10565667,0.9477
4,brain coral,n01917289,0.8900
5,basketball,n02802426,0.8938
6,dalmatian,n02110341,0.8678
7,prayer rug,n03998194,0.7571
8,menu,n07565083,0.8991
9,comic book,n06596364,0.9131
10,jinrikisha,n03599486,0.8965
11,pomegranate,n07768694,0.7783
12,pizza,n07873807,0.9621
13,dandie dinmont,n02096437,0.7994
14,consomme,n07584110,0.8562
15,japanese spaniel,n02085782,0.8858
16,yellow lady's slipper,n12057211,0.7605
17,wine bottle,n04591713,0.7785
18,disk brake,n03208938,0.9137
19,echidna,n01872401,0.8841
20,yellow lady's slipper,n12057211,0.9048
21,barber chair,n02791124,0.8856
22,gyromitra,n13037406,0.9380
23,disk brake,n03208938,0.8523
24,bee,n02206856,0.8177
25,hot pot,n07590611,0.8196
26,library,n03661043,0.9261
27,hot pot,n07590611,0.8417
28,disk brake,n03208938,0.8882
29,manhole cover,n03717622,0.7647
30,beach wagon,n02814533,0.8475
31,bookcase,n02870880,0.9354
32,cliff dwelling,n03042490,0.8592
33,police van,n03977966,0.8897
34,library,n03661043,0.9679
35,greenhouse,n03457902,0.8917
36,space bar,n04264628,0.8509
37,monarch,n02279972,0.8799
38,pizza,n07873807,0.8132
39,web site,n06359193,0.9504
40,windsor tie,n04591157,0.8773
41,promontory,n09399592,0.8926
42,spiny lobster,n01984695,0.8557
43,hen-of-the-woods,n13052670,0.8734
44,jinrikisha,n03599486,0.8440
45,giant panda,n02510455,0.7914
46,tiger,n02129604,0.8625
47,papillon,n02086910,0.8140
48,echidna,n01872401,0.8100
49,china cabinet,n03018349,0.9519
50,great white shark,n01484850,0.9485
51,dial telephone,n03187595,0.8707
52,brain coral,n01917289,0.8672
53,disk brake,n03208938,0.8733
54,sea slug,n01950731,0.8815
55,whiptail,n01685808,0.8674
56,european fire salamander,n01629819,0.9011
57,bell pepper,n07720875,0.9296
58,shoji,n04201297,0.9368
59,cardoon,n07730033,0.8244
60,overskirt,n03866082,0.8631
61,web site,n06359193,0.9294
62,carousel,n02966193,0.8825
63,jaguar,n02128925,0.8947
64,espresso,n07920052,0.8219
65,web site,n06359193,0.8869
66,digital watch,n03197337,0.8410
67,jaguar,n02128925,0.9030
68,carousel,n02966193,0.8601
69,bicycle-built-for-two,n02835271,0.8617
70,potpie,n07875152,0.8636
71,cliff dwelling,n03042490,0.8972
72,plate,n07579787,0.8107
73,pizza,n07873807,0.8950
74,shoji,n04201297,0.9148
75,web site,n06359193,0.8824
76,jinrikisha,n03599486,0.8849
77,ringlet,n02277742,0.8215
78,artichoke,n07718747,0.8538
79,disk brake,n03208938,0.8485
80,jaguar,n02128925,0.9301
81,overskirt,n03866082,0.8536
82,crossword puzzle,n06785654,0.8376
83,coral fungus,n12985857,0.8814
84,trifle,n07613480,0.8431
85,slot,n04243546,0.8733
86,crossword puzzle,n06785654,0.8519
87,electric locomotive,n03272562,0.8654
88,prayer rug,n03998194,0.9265
89,hotdog,n07697537,0.9003
90,echidna,n01872401,0.8621
91,vending machine,n04525305,0.9589
92,odometer,n03841143,0.9285
93,butcher shop,n02927161,0.7940
94,confectionery,n03089624,0.9234
95,suit,n04350905,0.8462
96,bell pepper,n07720875,0.8567
97,stinkhorn,n13040303,0.8621
98,manhole cover,n03717622,0.8274
99,red-breasted merganser,n01855032,0.9469
100,anemone fish,n02607072,0.8733
101,china cabinet,n03018349,0.9295
102,pizza,n07873807,0.8279
103,pomegranate,n07768694,0.8488
104,pomegranate,n07768694,0.9245
105,great grey owl,n01622779,0.8688
106,cardoon,n07730033,0.8712
107,mashed potato,n07711569,0.8490
108,shoji,n04201297,0.9439
109,web site,n06359193,0.9528
110,marimba,n03721384,0.8284
111,web site,n06359193,0.9032
112,disk brake,n03208938,0.8219
113,comic book,n06596364,0.9052
114,carbonara,n07831146,0.9362
115,parachute,n03888257,0.8345
116,police van,n03977966,0.9352
117,tibetan terrier,n02097474,0.9029
118,coral fungus,n12985857,0.8941
119,jack-o'-lantern,n03590841,0.8942
120,web site,n06359193,0.9819
121,confectionery,n03089624,0.8990
122,jigsaw puzzle,n03598930,0.9080
123,rapeseed,n11879895,0.9608
124,tiger beetle,n02165105,0.8847
125,strawberry,n07745940,0.8816
126,web site,n06359193,0.9349
127,seat belt,n04162706,0.8232
