neuron,concept,concept_id,metric
0,electric locomotive,n03272562,0.8932
1,proboscis monkey,n02489166,0.8228
2,web site,n06359193,0.9090
3,slot,n04243546,0.8313
4,matchstick,n03729826,0.8544
5,confectionery,n03089624,0.8914
6,slot,n04243546,0.8306
7,police van,n03977966,0.9308
8,web site,n06359193,0.9259
9,pomegranate,n07768694,0.9206
10,web site,n06359193,0.9581
11,strawberry,n07745940,0.8385
12,crib,n03131574,0.8781
13,web site,n06359193,0.9334
14,indri,n02500267,0.8516
15,confectionery,n03089624,0.9317
16,strawberry,n07745940,0.8167
17,academic gown,n02669723,0.8714
18,web site,n06359193,0.8586
19,coral fungus,n12985857,0.8657
20,coral fungus,n12985857,0.8516
21,red-breasted merganser,n01855032,0.8840
22,web site,n06359193,0.9363
23,spiny lobster,n01984695,0.9199
24,electric locomotive,n03272562,0.8845
25,indri,n02500267,0.8845
26,web site,n06359193,0.8524
27,scuba diver,n10565667,0.9626
28,pomegranate,n07768694,0.8788
29,stage,n04296562,0.8251
30,web site,n06359193,0.9400
31,school bus,n04146614,0.8556
32,dogsled,n03218198,0.8303
33,yellow lady's slipper,n12057211,0.9416
34,scuba diver,n10565667,0.8429
35,strawberry,n07745940,0.9468
36,abaya,n02667093,0.8712
37,disk brake,n03208938,0.8582
38,dishrag,n03207743,0.8662
39,sea cucumber,n02321529,0.8280
40,sea cucumber,n02321529,0.9021
41,organ,n03854065,0.8664
42,web site,n06359193,0.9522
43,slot,n04243546,0.8469
44,organ,n03854065,0.8608
45,great white shark,n01484850,0.9456
46,pizza,n07873807,0.9057
47,echidna,n01872401,0.8374
48,comic book,n06596364,0.8319
49,jellyfish,n01910747,0.8746
50,web site,n06359193,0.9272
51,leopard,n02128385,0.8455
52,carbonara,n07831146,0.9216
53,echidna,n01872401,0.8644
54,cheeseburger,n07697313,0.8596
55,brass,n02892201,0.7905
56,comic book,n06596364,0.8864
57,hot pot,n07590611,0.8521
58,web site,n06359193,0.9156
59,web site,n06359193,0.9809
60,gyromitra,n13037406,0.8746
61,web site,n06359193,0.8986
62,comic book,n06596364,0.8997
63,parachute,n03888257,0.8279
