layer,unit,description
layer4,0,Faces of dogs
layer4,1,Books
layer4,2,Clocks and odometer
layer4,3,Blue and red objects
layer4,4,Animals
layer4,5,Dresses and dresses
layer4,6,Musical instruments
layer4,7,Water
layer4,8,Clothes
layer4,9,Dogs
layer4,10,Rounded edges in pictures
layer4,11,Hands of people
layer4,12,Animals
layer4,13,Items with designs
layer4,14,Brown animals
layer4,15,Items with designs
layer4,16,Red objects
layer4,17,"Insects, birds"
layer4,18,Items that are connected
layer4,19,Dog ears
layer4,20,Round objects
layer4,21,Living things
layer4,22,Black and white objects
layer4,23,Cubed objects
layer4,24,Musical instruments
layer4,25,Living things
layer4,26,Food
layer4,27,Dogs
layer4,28,Dogs
layer4,29,Small red balls
layer4,30,The indent in an hourglass shape
layer4,31,Animals
layer4,32,Vehicles
layer4,33,Buttons and watches
layer4,34,Animal heads
layer4,35,Animals
layer4,36,Round objects
layer4,37,Items with designs
layer4,38,Stripes
layer4,39,Water
layer4,40,The indent in an hourglass shape
layer4,41,Circles
layer4,42,Brown dogs
layer4,43,Living things
layer4,44,Cylindrical objects
layer4,45,Faces
layer4,46,Fences and fences
layer4,47,Clothes
layer4,48,Faces of things
layer4,49,Animals
layer4,50,Items with designs
layer4,51,Animals
layer4,52,Balls
layer4,53,Poles
layer4,54,Birds and the sky
layer4,55,Animals
layer4,56,The ocean
layer4,57,Items that are connected
layer4,58,Animals
layer4,59,Items with straight features
layer4,60,Animals
layer4,61,Wooden objects
layer4,62,Living things
layer4,63,Cylindrical objects
layer4,64,Living things
layer4,65,Animals
layer4,66,Furniture and sweaters
layer4,67,Musical instruments
layer4,68,Green areas in picture
layer4,69,Animals
layer4,70,Small balls
layer4,71,Bottles
layer4,72,Items that are connected
layer4,73,Round objects
layer4,74,Faces of things
layer4,75,Bottles
layer4,76,Similar patterns
layer4,77,Faces of things
layer4,78,Animals and food
layer4,79,Wooden chairs and grocery carts
layer4,80,Produce
layer4,81,Wheels
layer4,82,The indent in an hourglass shape
layer4,83,Dogs
layer4,84,Light reflections
layer4,85,Corners of things
layer4,86,Animal fur and feathers
layer4,87,Produce
layer4,88,Wheels of vehicles
layer4,89,Metal locks
layer4,90,Edges of objects
layer4,91,"Long, thin objects"
layer4,92,Animals
layer4,93,Yellow objects
layer4,94,Faces of things
layer4,95,Shower caps
layer4,96,Edges of objects
layer4,97,Faces of things
layer4,98,Animals
layer4,99,Ties and cones
layer4,100,Birds and dogs
layer4,101,Living things
layer4,102,Living things
layer4,103,Food
layer4,104,Tapered objects
layer4,105,Text
layer4,106,People and clothes
layer4,107,Rounded edges in pictures
layer4,108,The indent in an hourglass shape
layer4,109,Hands of humans
layer4,110,Animals
layer4,111,Regions with straight features
layer4,112,Pictures of animal
layer4,113,Buttons and watches
layer4,114,Hands
layer4,115,Birds
layer4,116,Furniture
layer4,117,Edges of objects
layer4,118,Faces of things
layer4,119,Clothes
layer4,120,Items with designs
layer4,121,Keyboards
layer4,122,Soccer balls
