layer,unit,description
layer3,0,Text
layer3,1,Animals
layer3,2,Green areas in picture
layer3,3,Yellow objects
layer3,4,Legs of people
layer3,5,Areas of green
layer3,6,Beaks of birds
layer3,7,The bottom of circles
layer3,8,Living things
layer3,9,The bottom of circles
layer3,10,Center part of the flowers
layer3,11,Circles
layer3,12,Animal ears
layer3,13,Animal heads
layer3,14,Dog ears
layer3,15,Circles
layer3,16,Animal faces
layer3,17,Text
layer3,18,Classic cars
layer3,19,The sky
layer3,20,The tops of buildings
layer3,21,Stripes
layer3,22,Dog heads
layer3,23,Round objects
layer3,24,Faces of people
layer3,25,The corners of objects
layer3,26,The sky
layer3,27,The sky
layer3,28,Noses of dogs
layer3,29,The top of a circle
layer3,30,The top of a object
layer3,31,Dog heads
layer3,32,Dog heads
layer3,33,Red objects
layer3,34,Round objects
layer3,35,Animal faces
layer3,36,Living things
layer3,37,Red areas in picture
layer3,38,Objects that are red
layer3,39,Blue sky
layer3,40,People and animals
layer3,41,Edges of objects
layer3,42,Circles
layer3,43,Animal heads
layer3,44,Orange objects
layer3,45,Produce
layer3,46,Clothes
layer3,47,Bottles
layer3,48,Animal eyes
layer3,49,Circles
layer3,50,Dog heads
layer3,51,Circles
layer3,52,Small polka dots
layer3,53,Circles
layer3,54,Circles and stripes
layer3,55,Faces of things
layer3,56,The tops of buildings
layer3,57,Faces
layer3,58,Dog noses
layer3,59,Diagonal lines
layer3,60,Circles
layer3,61,Dog heads
layer3,62,Dog heads
layer3,63,Animals
layer3,64,Dog heads
layer3,65,Similar patterns
layer3,66,Bottles
layer3,67,The center of the flower bud
layer3,68,Yellow areas
layer3,69,Eyes of animals
layer3,70,The sky
layer3,71,The sky
layer3,72,Round objects
layer3,73,Hands
layer3,74,Dog heads
layer3,75,Text
layer3,76,Animal heads
layer3,77,Bottles
layer3,78,Dog heads
layer3,79,Animal fur
layer3,80,Spotted pattern on objects
layer3,81,Circles
layer3,82,Animals and circular objects
layer3,83,Circles
layer3,84,Dog heads
layer3,85,Eyes of animals
layer3,86,Dog heads
layer3,87,Dog noses
layer3,88,Circles
layer3,89,The sky
layer3,90,Yellow areas
layer3,91,Beaks of birds
layer3,92,Parts of birds
layer3,93,Poles
layer3,94,Dog ears
layer3,95,Faces of things
layer3,96,Circles
layer3,97,Dog noses
layer3,98,The top of the objects
layer3,99,Faces of things
layer3,100,Dog ears
layer3,101,The ground
layer3,102,Animal heads
layer3,103,Pink objects
layer3,104,Circles
layer3,105,Beaks of birds
layer3,106,Produce
layer3,107,The right side of a object
layer3,108,The area around the object
layer3,109,Bottle caps
layer3,110,Dog heads
layer3,111,Vertical lines
layer3,112,Dog noses
layer3,113,Stripes
layer3,114,Necks of birds
layer3,115,Clothing
layer3,116,Animal eyes
layer3,117,White space
layer3,118,The center part of flowers and flowers
layer3,119,Round objects
layer3,120,Animal eyes
layer3,121,Clothes
layer3,122,Animal legs
layer3,123,Similar patterns
layer3,124,The sky
layer3,125,Black and white fur
layer3,126,Animals
layer3,127,Faces of dogs
layer3,128,Dogs
layer3,129,Circles
layer3,130,Striped and diamond
layer3,131,Dog ears
layer3,132,Rounded edges in pictures
layer3,133,Windows of buildings
layer3,134,Eyes and holes
layer3,135,Birds
layer3,136,Dog heads
layer3,137,Human faces
layer3,138,The ground
layer3,139,Striped and checkered
layer3,140,Green objects
layer3,141,Dog heads
layer3,142,Edges of objects
layer3,143,Clothes
layer3,144,The tops of objects
layer3,145,Circles
layer3,146,Parts of things
layer3,147,Faces of things
layer3,148,Red areas
layer3,149,Animal heads
layer3,150,Circles
layer3,151,Yellow or orange areas
layer3,152,Red areas
layer3,153,Flowers and petals
layer3,154,Vertical lines
layer3,155,Objects that are red
layer3,156,Patterns
layer3,157,Animal eyes
layer3,158,Circles
layer3,159,Dog heads
layer3,160,Green objects
layer3,161,Animal heads
layer3,162,The sky
layer3,163,Dog eyes
layer3,164,Car wheels
layer3,165,Dog heads
layer3,166,Dog eyes
layer3,167,Metal hooks
layer3,168,Dog heads
layer3,169,Diagonal lines
layer3,170,Human faces
layer3,171,Orange objects
layer3,172,Dog ears
layer3,173,Dog ears
layer3,174,Dog noses
layer3,175,The top of the objects
layer3,176,Flowers
layer3,177,Dog heads
layer3,178,Stripes
layer3,179,Animal ears
layer3,180,Clothing
layer3,181,Dog heads
layer3,182,Dog ears
layer3,183,Dog faces
layer3,184,Dog heads
layer3,185,Patterns
layer3,186,Dogs
layer3,187,The sky
layer3,188,Dog heads
layer3,189,Circles
layer3,190,Black and white objects
layer3,191,Brown animals
layer3,192,Circles
layer3,193,Round objects
layer3,194,Faces of things
layer3,195,Circular objects
layer3,196,Shirts being worn by people
layer3,197,Animal fur
layer3,198,Dog noses
layer3,199,Animal fur
layer3,200,Red objects
layer3,201,Objects with ridges
layer3,202,Areas of red
layer3,203,Faces
layer3,204,The right side of a object
layer3,205,Area where object becomes long and thin
layer3,206,Dog heads
layer3,207,The tops of objects
layer3,208,Nothing
layer3,209,Dog ears
layer3,210,Rounded edges in pictures
layer3,211,Bird heads
layer3,212,Faces
layer3,213,Dog heads
layer3,214,Beaks of birds
layer3,215,Edges of objects
layer3,216,Heads of birds
layer3,217,Edges of objects
layer3,218,People and dogs
layer3,219,Green areas in picture
layer3,220,Faces
layer3,221,Circular objects
layer3,222,Living things
layer3,223,Animal heads
layer3,224,Diagonal lines
layer3,225,Faces of humans
layer3,226,Snakes and other animals
layer3,227,Faces of things
layer3,228,Brighter areas in objects
layer3,229,The sky
layer3,230,Faces of animals
layer3,231,Flower petals
layer3,232,Faces of people
layer3,233,Wheels
layer3,234,Hinges
layer3,235,Faces of things
layer3,236,Living things
layer3,237,White areas
layer3,238,Purple areas
layer3,239,Landscapes
layer3,240,Round objects
layer3,241,Bumpkin lights
layer3,242,They all contain leg lines
layer3,243,Yellow areas
layer3,244,Dogs
layer3,245,Animal heads
layer3,246,Circles
layer3,247,The top of a circle
layer3,248,The tops of buildings
layer3,249,Faces of animals
layer3,250,Snakes and compasses
layer3,251,Animal heads
layer3,252,Circles
layer3,253,Dog eyes
layer3,254,People and dogs
layer3,255,Dog heads
