layer,unit,description
layer2,0,The color orange and red
layer2,1,The eyes of black holes
layer2,2,Spots of the color white
layer2,3,The color blue
layer2,4,Red areas in picture
layer2,5,Dogs and birds
layer2,6,Dogs
layer2,7,Red areas in pictures
layer2,8,Spots of the color white
layer2,9,Stripes
layer2,10,Small dots
layer2,11,Brighter areas in objects
layer2,12,Red areas in picture
layer2,13,Dog noses
layer2,14,Brighter areas in objects
layer2,15,The right side of a object
layer2,16,Edges of objects
layer2,17,Brighter areas in objects
layer2,18,Spots of the color white
layer2,19,Eyes
layer2,20,Small dots
layer2,21,Spots of the color white
layer2,22,Dogs
layer2,23,The bottom of a circle
layer2,24,Spots of the color white
layer2,25,Parts of circles
layer2,26,Spots of the color white
layer2,27,Spots of the color red
layer2,28,Spots of the color white
layer2,29,Spots of the color white
layer2,30,Specific patterns
layer2,31,The top of a circle
layer2,32,Spots of the color white
layer2,33,Stripes
layer2,34,Horizontal lines
layer2,35,Edges of objects
layer2,36,Animal eyes
layer2,37,Yellow circles
layer2,38,Red areas in pictures
layer2,39,Stripes
layer2,40,Specific patterns
layer2,41,Dots on objects
layer2,42,Red areas in picture
layer2,43,Spots of the color white
layer2,44,Specific patterns
layer2,45,Dogs
layer2,46,Red objects
layer2,47,Dogs
layer2,48,Numbers and letters of objects
layer2,49,Edges of objects
layer2,50,The color blue
layer2,51,Text and ashes
layer2,52,White areas
layer2,53,Spots of the color white
layer2,54,Stripes
layer2,55,Spots of the color white
layer2,56,Spots of the color white
layer2,57,The color blue
layer2,58,The bottom of circles
layer2,59,Stripes
layer2,60,Stripes
layer2,61,Patterns
layer2,62,Spots of the color white
layer2,63,Dots
layer2,64,Stripes
layer2,65,Brighter areas in objects
layer2,66,Diagonal lines
layer2,67,Circles
layer2,68,Spots of the color white
layer2,69,Greenery
layer2,70,Spots of the color white
layer2,71,Black dots
layer2,72,A guitar pick
layer2,73,Spots of the color white
layer2,74,Specific patterns
layer2,75,Text
layer2,76,Spots of the color white
layer2,77,Spots of the color white
layer2,78,Spots of the color white
layer2,79,Spots of the color white
layer2,80,Text and ashes
layer2,81,Stripes
layer2,82,Patterns
layer2,83,Spots of the color white
layer2,84,Red areas in picture
layer2,85,Spots of the color white
layer2,86,Spots of the color white
layer2,87,Edges of objects
layer2,88,Patterns
layer2,89,Spots of the color red
layer2,90,Spots of the color white
layer2,91,Black dots
layer2,92,Spots of the color white
layer2,93,The top of the images
layer2,94,Colorful objects that are red
layer2,95,Black and white colored objects
layer2,96,Edges of objects
layer2,97,Green areas in picture
layer2,98,Text and ashes
layer2,99,Spots of the color white
layer2,100,Spots of the color red
layer2,101,Spots of the color white
layer2,102,Spots of the color white
layer2,103,Red articles of clothing
layer2,104,Purple areas
layer2,105,Dogs
layer2,106,Animal eyes
layer2,107,Patterns
layer2,108,Text and ashes
layer2,109,Circles
layer2,110,Spots of the color white
layer2,111,Specific patterns
layer2,112,Spots of the color white
layer2,113,Edges of objects
layer2,114,Yellow dots
layer2,115,Spots of the color white
layer2,116,The area under lines
layer2,117,Stripes
layer2,118,Specific patterns
layer2,119,Brighter areas in objects
layer2,120,Text and ashes
layer2,121,Spots of the color white
layer2,122,Small dots
layer2,123,Text
layer2,124,Spots of the color white
layer2,125,Brighter areas in objects
layer2,126,Spots of the color white
layer2,127,Spots of the color white
