group,Unnamed: 0,concept_set_words,concept_set_noun_phrases
8,8,"[('plumage', 0.339111328125), ('european', 0.339111328125), ('nightjar', 0.339111328125), ('cubanensis', 0.288818359375), ('cuban', 0.288818359375), ('caprimulgus', 0.288818359375), ('feather', 0.287109375), ('owl', 0.287109375)]","[('european nightjar', 0.339111328125), ('cuban nightjar caprimulgus cubanensis', 0.288818359375), ('owl feathers images', 0.287109375), ('just nightjar caprimulgus europaeus', 0.253662109375), ('european nightjar photos', 0.2239990234375), ('high definition', 0.11114501953125), ('banjo kazooie xbox', 0.11114501953125), ('freezeezy peak', 0.11114501953125)]"
26,26,"[('tree', 0.3169133112980769), ('branch', 0.27242807241586536), ('bird', 0.09401292067307693), ('perched', 0.09066537710336539), ('araucaria', 0.0801861102764423), ('blue', 0.075927734375), ('field', 0.0737774188701923), ('libocedrus', 0.06911057692307693)]","[('calocedrus decurrens', 0.06911057692307693), ('libocedrus decurrens', 0.06911057692307693), ('name tree', 0.04339130108173077), ('green trees', 0.037099984975961536), ('arborist lumberjack', 0.036733774038461536), ('s army', 0.03585111177884615), ('federal emergency management agency', 0.03585111177884615), ('orocovis puerto rico', 0.03585111177884615)]"
39,39,"[('motion', 0.12762451171875), ('blue', 0.111785888671875), ('technology', 0.10113525390625), ('abstract', 0.088897705078125), ('car', 0.07061767578125), ('race', 0.07061767578125), ('formula', 0.07061767578125), ('mesh', 0.06390380859375)]","[('formula race car', 0.07061767578125), ('blue technology wire mesh', 0.06390380859375), ('metal panel', 0.0635986328125), ('blue motion mesh pattern web', 0.0570068359375), ('beyblade transparent', 0.0535888671875), ('blue hexagons wall', 0.051666259765625), ('illustration photos', 0.051666259765625), ('blue high speed space warp shutterstock vector', 0.047882080078125)]"
56,56,"[('library', 0.55712890625), ('book', 0.55712890625), ('antique', 0.55712890625), ('shelf', 0.55712890625), ('use', 0.55712890625), ('conferencing', 0.55712890625), ('bookshelf', 0.47998046875), ('focused', 0.4453125)]","[('antique library books', 0.55712890625), ('secondhand shop', 0.4345703125), ('colorful bookshelf', 0.4345703125)]"
57,57,"[('water', 0.2479926215277778), ('american', 0.15858289930555555), ('coot', 0.10926649305555555), ('scaup', 0.10628255208333333), ('lesser', 0.10628255208333333), ('male', 0.10628255208333333), ('female', 0.10628255208333333), ('crested', 0.10248480902777778)]","[('american coots', 0.10926649305555555), ('lesser scaup female male', 0.10628255208333333), ('auklet pair', 0.10248480902777778), ('lesser scaup pair', 0.10123697916666667), ('borei submarine', 0.09418402777777778), ('pik tv', 0.09418402777777778), ('sale coastkid blogspot com', 0.09233940972222222), ('mini submarines', 0.09233940972222222)]"
59,59,"[('black', 0.06982732223252118), ('white', 0.06893901501671743), ('side', 0.06851661811440678), ('panorama', 0.05099642478813559), ('man', 0.04755569716631356), ('red', 0.04187839314088983), ('field', 0.04066182799258475), ('aircraft', 0.03848318326271186)]","[('national park', 0.023520259533898306), ('monitor lizard monitor lizard', 0.016469147245762712), ('komodo dragon varanus komodoensis', 0.016328456038135594), ('monitor lizard', 0.016220868644067795), ('champlain bridge header fr', 0.015732587394067795), ('rust rottweiler puppy dog', 0.01563327595338983), ('cute healthy', 0.01563327595338983), ('tiny transparent larval squid', 0.015616724046610169)]"
71,71,"[('abstract', 0.033077833387586804), ('bamboo', 0.029183281792534724), ('grass', 0.02621505172164352), ('forest', 0.026006627965856483), ('gigapixel', 0.020501624213324653), ('panorama', 0.020446918628833913), ('texture', 0.01838554099754051), ('set', 0.017584737141927084)]","[('designtnt textures treeline', 0.016471354166666667), ('gigapixel panoramabild von london bt tower london panorama', 0.014973195393880208), ('bamboo forest', 0.009219925491898148), ('long uncut green grass', 0.0075991030092592594), ('long grass', 0.007430013020833333), ('high speed arrow', 0.006829607928240741), ('archery target', 0.006829607928240741), ('chalepa ta kala', 0.006546585648148148)]"
139,139,"[('producing', 0.14013671875), ('striking', 0.14013671875), ('melody', 0.14013671875), ('hammer', 0.14013671875), ('string', 0.14013671875), ('dusty', 0.14013671875), ('piano', 0.14013671875), ('dirty', 0.129296875)]","[('dusty piano hammers', 0.14013671875), ('dirty piano hammers', 0.129296875), ('grand piano mechanics', 0.1123046875), ('hammers strings', 0.1123046875), ('grand piano', 0.10849609375), ('inner workings', 0.10849609375), ('hammers strike', 0.10849609375), ('mechanical pipe organ', 0.090234375)]"
150,150,"[('brass', 0.15096028645833334), ('bowl', 0.15096028645833334), ('handle', 0.15096028645833334), ('curry', 0.15096028645833334), ('condensed', 0.14591471354166666), ('milk', 0.14591471354166666), ('undulating', 0.13102213541666666), ('vessel', 0.13102213541666666)]","[('brass curry bowl', 0.15096028645833334), ('osumi yukies', 0.13102213541666666), ('wave pattern', 0.13102213541666666), ('gold wavey marks', 0.13102213541666666), ('silver vessel', 0.13102213541666666), ('grey vehicle', 0.12483723958333333), ('toyota dealership', 0.12483723958333333), ('solid base narrows', 0.103515625)]"
151,151,"[('wall', 0.225860595703125), ('dry', 0.182861328125), ('stone', 0.182861328125), ('natural', 0.16357421875), ('traditional', 0.13104248046875), ('grey', 0.10614013671875), ('light', 0.10614013671875), ('rope', 0.10614013671875)]","[('light grey', 0.10614013671875), ('fresh broccoli', 0.1055908203125), ('spiral stairs videohive item', 0.10333251953125), ('dark spiral stairs jigsaw puzzles', 0.09649658203125), ('natural traditional irish dry stone wall', 0.09368896484375), ('mick garratt', 0.08917236328125), ('dry stone', 0.086669921875), ('traditional rural enclosures', 0.086669921875)]"
